"release_speed","balls","strikes","pfx_x","pfx_z","plate_x","plate_z","release_spin_rate","class"
87.2,0,1,-0.08,0.15,0.45,1.99,2215,"Strong"
87.2,0,0,-0.01,0.17,0.45,0.89,2234,"Weak/Miss"
88.7,0,0,0.42,0.08,0.44,2.5,2059,"Strong"
71.2,3,2,-1.68,0.14,-0.64,0.77,2450,"Take"
72,3,1,-1.88,0.1,-0.07,1.47,2568,"Weak/Miss"
72.2,2,1,-1.55,-0.12,-1.5,0.76,2428,"Take"
71.3,1,1,-1.9,-0.09,-2.22,0.83,2511,"Take"
70.5,0,1,-1.79,0.16,-0.26,0.65,2431,"Take"
69.5,0,0,-1.8,0.07,-0.97,0.92,2408,"Weak/Miss"
81.5,3,1,-0.38,0.42,-0.21,2.32,2038,"Strong"
71.7,2,1,-1.29,-0.06,-1.82,1.89,2423,"Take"
90.4,3,2,-0.44,1.57,0.71,1.92,2017,"Take"
89.4,3,1,-0.67,1.53,-0.2,2.35,1995,"Weak/Miss"
71,1,0,-1.36,0.36,1.01,3.08,2278,"Take"
82.8,2,1,-1.31,0.55,-0.89,0.33,2232,"Take"
89.1,2,0,-0.62,1.44,-0.24,2.36,1999,"Take"
72.6,0,0,-1.18,0.1,-1.91,1.23,2373,"Take"
83.2,1,0,-1.13,0.98,-0.78,1.32,2277,"Take"
76.1,0,0,0.36,-1,0.41,0.59,2219,"Take"
75.3,2,2,-1.03,-1.05,0.16,2.62,2349,"Strong"
76,2,2,-0.31,-1.44,0.26,0.93,2505,"Weak/Miss"
94.4,2,2,0.32,1.3,-0.22,1.84,2050,"Weak/Miss"
89.8,1,2,1.28,0.52,-0.45,1.05,1946,"Take"
75.3,1,2,-0.78,-1.2,0.04,1.1,2369,"Weak/Miss"
93.2,1,2,0.56,1.26,0.22,3.55,1889,"Strong"
88.2,1,1,1.12,0.65,-0.01,3.07,1733,"Take"
93.8,1,0,0.4,1.47,0.03,3.48,1905,"Strong"
76.1,0,0,-0.82,-1.5,-0.36,0.58,2536,"Take"
88.7,1,0,1.31,1.08,1.08,2.44,2177,"Strong"
89.6,0,0,1.42,0.97,1.08,1.92,2132,"Take"
98.2,1,2,0.12,1.34,0.03,2.98,2668,"Weak/Miss"
98,1,1,-0.01,1.33,-0.08,1.5,2469,"Take"
97.8,0,1,0,1.07,-0.87,2.34,2301,"Take"
95.7,1,1,-0.39,1.54,0.11,3.14,2259,"Strong"
83,1,0,0.42,-0.19,0.62,1.07,2196,"Weak/Miss"
96.5,0,0,-0.45,1.61,0.86,4.1,2337,"Take"
99.4,2,2,0.06,1.43,-0.44,2.36,2546,"Take"
99.1,1,2,-0.3,1.34,-1.99,3.88,2355,"Take"
85.6,1,1,0.44,-1.28,0.17,1.46,2964,"Weak/Miss"
98.5,1,0,-0.48,1.47,-0.5,2.29,2419,"Take"
86.4,0,1,0.34,0.13,0.17,2.26,2302,"Weak/Miss"
87.9,0,0,0.2,0.32,0.71,1.62,2283,"Weak/Miss"
98.8,0,0,-0.38,1.37,-0.91,3.24,2481,"Take"
97.1,2,2,-0.08,1.31,-0.63,2.58,2348,"Strong"
90.5,2,1,0.42,-0.02,-0.72,2.81,2236,"Weak/Miss"
97.8,1,0,-0.1,1.74,-0.49,0.57,2472,"Take"
89.6,0,0,0.41,0.04,-1.48,3.31,2146,"Take"
94.8,1,1,-1.06,0.99,0.32,2.27,2167,"Strong"
94.6,0,1,-0.98,1.24,1.41,2.41,2070,"Take"
85.6,0,0,0.53,-0.08,-0.67,2.31,2297,"Take"
78.6,1,1,1.74,-0.76,-0.42,1.7,2945,"Strong"
86.3,0,1,0.42,0.09,1.43,2.95,2386,"Take"
96.2,0,2,-0.46,1.63,0.17,3.52,2273,"Weak/Miss"
96,0,1,-0.31,1.81,0.27,2.54,2412,"Weak/Miss"
96.1,0,0,-0.48,1.57,-0.35,2.99,2285,"Weak/Miss"
79.4,1,2,1.76,-0.57,0.15,1.85,2926,"Take"
95,1,1,-1.29,1.11,0.18,3.02,2337,"Weak/Miss"
86.1,0,1,0.46,0.15,1.22,3.51,2433,"Take"
78.3,0,0,1.68,-0.57,-0.4,2.27,2920,"Take"
93,0,2,0.55,1.43,0.48,2.67,2204,"Strong"
83.7,0,1,-0.6,-0.13,-0.87,1.71,2243,"Weak/Miss"
90.5,0,0,1.2,1.48,-0.15,1.95,2559,"Weak/Miss"
91.9,3,1,0.92,1.56,0.42,2.92,2580,"Weak/Miss"
88.8,2,1,0.07,1,-1.69,0.98,2743,"Take"
91.3,1,1,1.03,1.55,-1.3,2.44,2594,"Take"
90.4,1,0,1.21,1.79,-0.04,2.35,2548,"Weak/Miss"
88,0,0,0.06,1.15,-1.57,0.99,2762,"Take"
91.8,0,0,1.3,1.43,0.83,2.05,2333,"Weak/Miss"
89,2,2,-0.02,0.73,-0.55,1.19,2609,"Weak/Miss"
91.4,2,2,0.9,1.41,0.43,3.31,2415,"Weak/Miss"
87.7,1,2,-0.19,0.76,-1.78,1.43,2600,"Take"
92,0,2,0.81,1.4,-1.51,3.05,2466,"Take"
87.7,0,1,-0.11,0.85,-0.88,0.93,2614,"Weak/Miss"
88.8,0,0,-0.07,1.26,-1.35,1.75,2622,"Weak/Miss"
95.7,0,0,1.59,0.91,0.92,3.02,2290,"Weak/Miss"
84.8,3,2,-0.08,0.73,-0.12,2.19,2655,"Strong"
93.8,2,2,-1.36,0.98,1.35,2.22,2581,"Take"
91.6,1,2,-1.1,1.4,-1.11,3.31,2627,"Take"
93.7,1,2,-1.39,0.93,0.09,2.32,2615,"Weak/Miss"
89.7,1,1,0,0.89,0.42,2.5,2788,"Weak/Miss"
90.3,0,1,-0.15,0.85,-0.7,3.5,2771,"Take"
85.5,0,0,-0.26,0.66,-0.4,1.92,2613,"Take"
92.5,0,0,-1.6,0.64,-0.77,2.54,2470,"Strong"
92.8,3,2,-0.77,1.29,1.36,2.57,2541,"Take"
92.6,2,2,-0.8,1.56,-0.07,4.5,2491,"Take"
81.9,1,1,-0.9,1.12,-1.29,2.94,1058,"Take"
88.5,0,1,-0.03,1.22,0.36,3.76,2534,"Take"
91.8,0,0,-0.8,1.26,0.7,1.89,2562,"Weak/Miss"
81.8,0,1,-0.05,-1.28,0.86,1.79,1794,"Weak/Miss"
93.1,1,2,-0.58,0.91,-0.44,2.96,2119,"Weak/Miss"
82.4,1,0,1.15,0.1,0.79,2.1,2647,"Strong"
92.2,0,0,-0.72,1.26,0.51,1.58,2274,"Take"
92.9,3,2,-0.53,1.17,-0.19,4,2191,"Weak/Miss"
85.5,2,2,-0.78,-0.47,1.68,-0.11,1740,"Take"
93.5,1,2,-0.57,0.92,-1.39,4.87,2249,"Take"
92.7,1,1,-0.59,1.04,0.92,2.98,2125,"Weak/Miss"
84.3,0,1,-0.81,-0.36,-1.28,2.23,1476,"Take"
84.5,0,0,-0.61,-0.26,-0.57,2.52,1388,"Take"
91.4,1,2,-0.2,1.08,0.94,2.95,2088,"Strong"
91,0,2,-0.18,1.36,-0.44,4.48,2213,"Take"
85.2,0,0,-1.04,0.81,-0.6,1.51,1982,"Take"
94.9,2,2,-0.59,1.24,0.9,2.38,2366,"Strong"
85.3,1,2,-0.78,-0.39,-2.11,2.37,1740,"Take"
83.2,0,2,1.39,-0.43,2.27,0,3042,"Take"
89.8,1,2,0.31,0.25,0.05,0.8,3106,"Weak/Miss"
97.5,1,2,-0.92,1.24,0,3.84,2503,"Weak/Miss"
83.2,0,0,1.28,0.05,0.27,2.48,2913,"Take"
89.5,0,2,-1.42,0.23,-0.76,0.45,1849,"Take"
87.6,1,0,-0.89,0.73,0.1,2.17,1586,"Weak/Miss"
99,0,2,-0.84,1.33,-0.96,3.02,2449,"Strong"
93.3,0,0,-0.04,1.3,0.96,3.58,2637,"Take"
89.4,0,1,-1.5,-0.04,0.13,1.59,1786,"Weak/Miss"
82.5,2,1,-0.21,-1.37,-0.35,1.7,1885,"Strong"
71.3,2,0,1.28,1.36,-0.2,2,2264,"Take"
87.3,0,0,0.5,-0.39,-0.55,2.84,2851,"Take"
81.8,1,0,0.04,-1.28,-0.75,1.2,1888,"Take"
81.6,0,0,-0.1,-1.26,0.38,1.01,1846,"Take"
96.8,1,2,1.35,1.12,0.95,3.68,2301,"Weak/Miss"
89.4,0,2,0.26,0.29,-0.91,0.53,2239,"Take"
94.4,0,1,1.47,0.83,-0.32,3.12,2156,"Take"
95.2,0,0,1.44,0.74,0.1,2.36,2205,"Take"
85.3,2,2,0.87,1.29,-0.68,3.15,2347,"Take"
80,1,2,1.6,0.48,-0.6,-0.32,2240,"Take"
79.4,1,1,1.6,0.58,0.54,2.35,2091,"Strong"
85.3,0,0,0.68,1.18,-1.51,2.72,2248,"Take"
89.6,0,1,-0.56,1.25,0.12,3.14,2416,"Weak/Miss"
89.6,0,0,-0.79,1.52,-0.06,3.76,2412,"Weak/Miss"
84.6,0,1,1.33,1.18,1.74,2.73,2133,"Take"
93,0,1,1.27,1.05,0.49,2.35,2006,"Weak/Miss"
85,0,0,1.04,0.85,0.28,3.01,2304,"Take"
83.5,0,0,1.22,0.42,0.3,2.76,1687,"Take"
95,3,2,-1.29,1.09,-1.56,3.79,2299,"Take"
79.8,3,2,1.43,-0.94,1.08,1.2,2641,"Strong"
80,3,2,1.24,-0.93,0.45,2.22,2580,"Strong"
78.8,3,2,1.31,-0.87,0.21,2.35,2627,"Weak/Miss"
94.1,3,1,-1.31,1.03,-0.34,1.78,2329,"Take"
93.3,2,1,-1.06,1.16,-1.51,4.02,2257,"Take"
78.9,2,0,1.46,-0.92,0.2,1.39,2676,"Strong"
86.8,1,0,-1.31,0.17,-1.42,1.25,1536,"Take"
85.5,0,0,-1.3,0.32,-0.54,1.14,1563,"Take"
94.3,2,2,-1,1.15,0.11,2.8,2278,"Strong"
94.8,1,2,-1.06,1.02,-1.58,4.12,2198,"Take"
94.8,1,1,-1.03,1.22,0.39,2.79,2300,"Weak/Miss"
88.1,0,1,-1.2,0.46,-1.01,1.21,1660,"Take"
92.7,0,0,-1.11,1.01,0.41,3.31,2199,"Weak/Miss"
94.8,0,2,-0.93,1.15,-1.03,3.29,2272,"Weak/Miss"
95.1,0,1,-0.94,1.21,-0.83,2.45,2241,"Take"
80.2,0,0,1.32,-0.92,-0.5,2.41,2555,"Take"
92.3,0,0,1.37,0.57,1.74,2.68,1855,"Weak/Miss"
91.9,3,1,-0.23,1.13,0.01,2.61,2380,"Strong"
91.4,2,1,-0.16,1.07,-0.19,4.2,2429,"Take"
79,1,1,0.77,-1.48,0.34,0.4,3093,"Take"
88.2,1,0,0.18,0.54,0.31,3.19,2614,"Take"
87.9,0,0,0.44,0.41,1.37,3.37,2603,"Take"
82.2,2,2,0.39,-1.06,-0.04,0.36,3021,"Weak/Miss"
92.9,2,1,-0.38,1.48,0.04,3.45,2353,"Weak/Miss"
87.7,1,1,0.55,0.42,1.51,2,2498,"Take"
92,0,1,-0.24,1.29,0.69,3.88,2313,"Take"
92.8,3,2,-0.7,1.29,0.96,2.05,2199,"Strong"
92.7,0,0,-0.25,1.33,0.4,3.49,2300,"Weak/Miss"
93.8,1,2,-0.6,1.4,-1.2,4.87,2162,"Take"
92.6,1,1,-0.71,1.34,0.25,3.17,2246,"Weak/Miss"
86.7,1,0,0.39,0.58,0.35,3.15,2305,"Take"
94.1,0,0,-1.5,0.92,0.01,0.59,2316,"Take"
93.4,0,0,-1.19,1.2,-0.18,2.54,2328,"Weak/Miss"
84.1,1,2,0.21,0.02,0.03,1.68,1993,"Strong"
90.5,0,2,-0.57,1.42,0.24,4.92,2158,"Take"
90.7,0,0,-1.3,0.79,-0.09,3.51,2184,"Take"
91.3,3,0,-1.47,0.58,-0.63,1.6,2197,"Strong"
91.3,2,0,-1.38,0.7,-1.43,2.64,2112,"Take"
91.8,1,0,-1.45,0.65,-1.38,1.62,2141,"Take"
81.4,0,0,-1.08,1.21,-1.73,2.81,1845,"Take"
96.3,2,2,-0.98,1.23,0.09,3.91,2364,"Weak/Miss"
95.7,2,1,-0.73,1.42,-0.63,2.39,2407,"Strong"
95.6,2,0,-0.66,1.61,-0.62,3.48,2448,"Take"
86.8,1,0,-0.26,0.41,0.12,1.19,2256,"Take"
95.3,0,0,-0.71,1.53,0.38,1.19,2398,"Take"
78.5,0,2,0.16,-0.82,0.03,1.94,1952,"Weak/Miss"
88.8,0,2,0.32,0.19,0.96,2.85,2252,"Weak/Miss"
90,0,2,0.56,0.29,1.53,1.97,2275,"Weak/Miss"
95.6,0,1,-0.15,0.86,0.12,2.91,2262,"Strong"
77.1,0,0,0.28,-0.66,0.2,2.44,2133,"Take"
93.9,3,2,-1.28,0.8,-1.04,3.38,2309,"Strong"
94,2,2,-1.33,0.99,-0.36,0.83,2388,"Take"
90.3,1,2,-0.69,1.27,-0.21,4.55,2311,"Take"
83.9,1,1,-1.05,0.9,0.19,2.19,1780,"Strong"
92.8,1,0,-1.36,0.87,-0.25,1.67,2343,"Weak/Miss"
92.5,0,0,-1.31,0.92,-0.03,0.8,2299,"Take"
94.5,0,1,1.33,1.14,1.15,2,2055,"Weak/Miss"
81.3,0,0,-0.09,-0.09,-0.86,1.93,1805,"Take"
88.1,3,2,-0.12,0.41,-2.16,1.69,1980,"Take"
89.6,2,2,0.16,0.29,-1.34,1.15,2073,"Take"
96,2,2,1.02,1.35,0.5,3.85,2232,"Strong"
96.6,2,2,1.01,1.3,-0.39,2.98,2282,"Strong"
88,1,1,-0.19,0.34,-0.48,3.38,1927,"Take"
94.2,1,0,1.08,1.36,0.22,2.17,2245,"Weak/Miss"
88.2,0,0,-0.21,0.45,-1.24,1.3,2085,"Take"
94.6,2,2,1.11,0.62,0.57,2.78,2057,"Weak/Miss"
81.4,1,2,-0.9,-0.55,0.89,3.02,2584,"Take"
94.4,2,1,1.15,1.18,1.03,2.77,2141,"Weak/Miss"
79.9,1,1,-1.11,-0.5,-0.95,2.96,2626,"Take"
87.3,1,1,-0.22,0.66,-1.59,0.22,2112,"Take"
94.9,0,0,1.25,0.6,-0.47,1.2,1973,"Take"
93.9,0,1,1.05,1.45,-0.81,2.56,2178,"Take"
93.3,0,0,0.96,1.51,0.18,2.6,2159,"Weak/Miss"
87.8,3,2,-1.17,0.17,-0.21,0.95,1567,"Weak/Miss"
85,3,2,0.82,-0.07,1.03,2.02,2456,"Strong"
93.1,3,1,-0.96,1.28,-0.1,1.57,2165,"Take"
84.2,2,1,1.23,-0.15,0.04,1.42,2343,"Take"
87.6,2,0,-1.27,0.6,-0.3,2.02,1638,"Strong"
88.1,1,0,-1.39,0.39,-0.47,1.27,1616,"Take"
87.2,0,0,-0.87,0.38,0.66,0,1618,"Take"
87.3,2,2,0.32,-0.14,0.21,0.67,2237,"Weak/Miss"
97.2,1,2,-0.65,1.5,-0.48,4.77,2469,"Take"
93.7,3,2,-1.14,0.79,0.33,2.2,2419,"Weak/Miss"
97.5,1,2,-0.69,1.38,0.12,3.7,2467,"Strong"
96.6,1,1,-0.47,1.55,0.76,3.16,2515,"Weak/Miss"
95.5,2,2,-1.33,0.76,-0.6,1.31,2474,"Take"
95.9,0,1,-0.6,1.59,-0.26,5.04,2470,"Take"
91.4,2,2,-0.84,1.1,-0.87,3.46,1858,"Weak/Miss"
96.2,0,0,-0.58,1.58,0.22,3.48,2479,"Weak/Miss"
93.1,2,1,-1.2,0.74,-0.41,2.64,2441,"Strong"
93.5,1,1,-1.39,0.61,1.48,2.18,2403,"Take"
86.3,1,1,-1.29,0.2,-1,1.42,1647,"Take"
79.5,1,0,1.59,-0.06,-1.04,2.04,2767,"Take"
87.3,0,1,-1.25,0.48,-0.99,0.92,1574,"Take"
81.9,0,0,0.47,0.22,-0.44,2.24,2398,"Weak/Miss"
80.2,0,0,1.76,-0.04,0.49,1.07,2840,"Take"
90.6,2,2,1.23,0.52,0.04,0.77,2031,"Weak/Miss"
86.3,1,2,-0.03,0.45,-1.95,1.02,2125,"Take"
89,1,1,1.32,0.41,0.26,1.53,1942,"Take"
89.7,1,0,1.22,0.66,1.75,1.6,1955,"Weak/Miss"
85.5,0,0,0,0.33,-1.03,1.51,2165,"Take"
90.2,1,2,0.92,0.52,0.51,1.65,1937,"Take"
90.2,0,2,0.83,0.6,0.37,0.96,1953,"Take"
84.7,0,1,-0.28,0.6,0.05,1.76,2158,"Weak/Miss"
92.5,0,0,0.56,1.5,-0.23,2.8,2286,"Weak/Miss"
89.9,0,2,1.16,0.64,0.98,2.07,2022,"Strong"
86.7,1,2,-0.9,0.2,-1.11,1.93,2658,"Weak/Miss"
89.8,0,1,1.14,0.7,0.2,1.74,2022,"Take"
87.7,0,2,-0.84,0,-2.14,0.87,2689,"Take"
99.1,0,1,0.71,1.41,-0.01,2.28,2535,"Strong"
87.5,3,2,-1.46,0.83,-0.9,3.41,2422,"Strong"
84.2,2,2,-0.12,-0.19,1.54,0.76,2800,"Take"
88.7,2,2,-1.62,1.12,-0.67,3.08,2342,"Weak/Miss"
83.5,2,2,0.33,-0.44,0.38,2.68,2789,"Weak/Miss"
94,1,2,-1.15,0.61,0.05,3.56,2145,"Take"
82.9,1,1,0.19,-0.22,-0.33,2.92,2612,"Weak/Miss"
93.8,0,1,-0.72,1.32,-0.52,4.83,2371,"Take"
93.5,0,0,-0.82,1.47,0.12,3.07,2372,"Weak/Miss"
95.4,2,2,-0.85,1.59,0.07,3.1,2477,"Weak/Miss"
94.9,2,2,-0.92,1.2,-0.05,2.63,2352,"Strong"
94.3,2,1,-1.05,1.26,-1.03,1.87,2466,"Take"
82.9,2,0,0.41,-0.32,-0.17,2.45,2861,"Weak/Miss"
88.2,1,0,-1.45,0.6,-0.8,0.68,2515,"Take"
84.3,0,0,0.25,-0.23,0.93,1.29,2798,"Take"
90.8,3,0,-1.55,0.2,-1.32,3.25,2287,"Take"
73,3,2,-0.29,0.22,0.37,1.19,2088,"Take"
79.8,2,1,-0.42,0.28,-1.31,1.95,2038,"Take"
85.4,1,0,-1.75,-0.12,-0.76,1.08,2317,"Take"
91.3,0,0,-1.92,0.17,-2.04,1.42,2147,"Take"
86.5,1,1,0.77,1.21,-1.17,2.36,2086,"Take"
82.7,0,1,-0.49,0.09,-0.95,2.07,2212,"Take"
79.4,0,0,-0.61,0.26,-0.15,2.34,2254,"Weak/Miss"
87.6,1,2,1.24,0.89,-0.13,1.59,1844,"Weak/Miss"
89.9,0,2,-0.06,0.73,-1.12,0.77,2395,"Take"
96.3,0,2,1.49,0.75,0.3,2.61,2071,"Weak/Miss"
95.4,0,0,1.68,0.72,0.39,2.26,2171,"Take"
94.9,0,0,1.32,0.87,0.85,2.48,2054,"Strong"
94.3,0,2,1.42,0.93,1.16,2.91,1982,"Weak/Miss"
93,0,2,1.51,0.73,0.14,3.11,1972,"Weak/Miss"
94,0,0,0.67,1.38,0.45,2.59,2128,"Take"
84.5,0,2,-0.66,0.36,-1.21,1.92,2515,"Weak/Miss"
94.3,0,1,1.41,0.82,0.57,2.57,2079,"Weak/Miss"
92.7,0,1,-0.86,0.96,-0.46,2.66,2163,"Strong"
92.6,0,0,-1.05,1.13,-0.92,2.89,2189,"Weak/Miss"
92.8,0,1,-0.76,0.94,0.61,3.04,2075,"Strong"
92.8,1,2,-0.36,1.43,0.09,2.48,2159,"Weak/Miss"
91.7,1,1,-0.21,1.57,-0.3,2.16,2266,"Weak/Miss"
94.8,1,2,-0.9,1.06,0.08,2.51,2175,"Take"
85.5,1,0,-1.18,0.9,-0.47,2.99,1562,"Weak/Miss"
93.9,0,2,-0.92,0.96,-1.64,3.96,2098,"Take"
92.4,0,0,-0.7,1.73,-0.99,1.8,2487,"Take"
93.7,0,1,-0.95,1.08,-1.05,2.8,2126,"Weak/Miss"
93.4,0,0,-0.84,1.24,-0.57,2.59,2215,"Weak/Miss"
91.9,1,2,0.73,1.32,0.36,2.34,2014,"Take"
92.5,1,1,0.71,1.38,-0.39,2.85,2123,"Strong"
83.4,1,0,-0.44,0.37,-0.66,2.62,1996,"Weak/Miss"
84.6,0,0,-0.37,0.39,-1.06,2.54,2015,"Take"
84.7,0,2,-0.63,0.04,-0.39,2.03,2537,"Weak/Miss"
83.5,0,1,-0.82,-0.12,-1.14,1.03,2477,"Weak/Miss"
82.4,0,0,-0.89,-0.05,0.31,3.01,2495,"Take"
94,1,2,-0.9,0.09,-1.19,2.33,1847,"Weak/Miss"
83.5,2,2,0.53,-0.3,0.86,1.83,2571,"Strong"
83.2,1,2,0.42,-0.47,-1.1,1.87,2320,"Strong"
92.3,0,1,-0.4,1,0.16,2.18,2453,"Weak/Miss"
93.7,0,2,-1.13,0.01,-2.19,2.8,1949,"Take"
96.4,1,2,-0.69,1.37,-2.19,4.42,2458,"Take"
92.7,0,1,-1.08,-0.03,-0.57,2.49,1947,"Strong"
95.6,1,1,-0.5,1.41,-0.17,3.61,2416,"Weak/Miss"
93.6,0,0,-1.13,0.12,-0.38,2.34,1958,"Take"
95.3,1,0,-0.44,1.61,-0.06,3.08,2486,"Strong"
96.6,0,0,-0.89,1.23,-0.85,3.35,2458,"Take"
79.9,3,2,-0.2,-0.35,-1.09,0.48,2450,"Weak/Miss"
93.2,3,2,1.11,1.21,-0.19,3.21,2508,"Weak/Miss"
93.4,2,2,1.2,1.32,-0.99,2.09,2536,"Take"
92.3,2,1,1.07,1.39,-0.11,2.07,2443,"Take"
80.4,1,1,-1.21,0.02,-3.29,0.79,2558,"Take"
91.9,1,0,1.21,1.34,0.68,3,2578,"Weak/Miss"
92.8,0,0,0.95,1.56,-1.15,2.9,2563,"Take"
